City,Validation Start Day,Filling Strategy,Denominator,Power,Accuracy
D,45,1,24,10.0,0.23396789
D,45,1,24,8.0,0.23408836
D,45,1,24,5.0,0.23431374
D,45,1,24,3.0,0.23469714
D,45,1,24,1.5,0.23510257
D,45,1,24,1.0,0.23497174
D,45,1,24,0.7,0.23476968
D,45,1,24,0.5,0.23466087
D,45,1,18,0.7,0.23434871
D,45,1,28,0.7,0.23496138
D,45,2,24,10.0,0.23414924
D,45,2,24,8.0,0.23434482
D,45,2,24,5.0,0.23472046
D,45,2,24,3.0,0.23534738
D,45,2,24,1.5,0.23627869
D,45,2,24,1.0,0.23633309
D,45,2,24,0.7,0.23643801
D,45,2,24,0.5,0.23643283
D,45,2,18,0.7,0.23567508
D,45,2,28,0.7,0.23677737
D,45,3,24,10.0,0.22689303
D,45,3,24,8.0,0.22700054
D,45,3,24,5.0,0.22732436
D,45,3,24,3.0,0.22792797
D,45,3,24,1.5,0.22859504
D,45,3,24,1.0,0.22890850
D,45,3,24,0.7,0.22893959
D,45,3,24,0.5,0.22898363
D,45,3,18,0.7,0.22881524
D,45,3,28,0.7,0.22901601
D,45,4,24,10.0,0.23136178
D,45,4,24,8.0,0.23152887
D,45,4,24,5.0,0.23192652
D,45,4,24,3.0,0.23247443
D,45,4,24,1.5,0.23285006
D,45,4,24,1.0,0.23278789
D,45,4,24,0.7,0.23277234
D,45,4,24,0.5,0.23260396
D,45,4,18,0.7,0.23253660
D,45,4,28,0.7,0.23280084
D,45,5,24,10.0,0.23205346
D,45,5,24,8.0,0.23215838
D,45,5,24,5.0,0.23249904
D,45,5,24,3.0,0.23297182
D,45,5,24,1.5,0.23322958
D,45,5,24,1.0,0.23309098
D,45,5,24,0.7,0.23300938
D,45,5,24,0.5,0.23286301
D,45,5,18,0.7,0.23275551
D,45,5,28,0.7,0.23308580
D,45,6,24,10.0,0.23216874
D,45,6,24,8.0,0.23230993
D,45,6,24,5.0,0.23274514
D,45,6,24,3.0,0.23314798
D,45,6,24,1.5,0.23344330
D,45,6,24,1.0,0.23334227
D,45,6,24,0.7,0.23315575
D,45,6,24,0.5,0.23293685
D,45,6,18,0.7,0.23290835
D,45,6,28,0.7,0.23325160
D,45,7,24,10.0,0.23328269
D,45,7,24,8.0,0.23340444
D,45,7,24,5.0,0.23362982
D,45,7,24,3.0,0.23396789
D,45,7,24,1.5,0.23418162
D,45,7,24,1.0,0.23408577
D,45,7,24,0.7,0.23372568
D,45,7,24,0.5,0.23358060
D,45,7,18,0.7,0.23345237
D,45,7,28,0.7,0.23390702
D,50,1,24,10.0,0.23929516
D,50,1,24,8.0,0.23934569
D,50,1,24,5.0,0.23947007
D,50,1,24,3.0,0.23981405
D,50,1,24,1.5,0.24010945
D,50,1,24,1.0,0.24002006
D,50,1,24,0.7,0.23988985
D,50,1,24,0.5,0.23969745
D,50,1,18,0.7,0.23940594
D,50,1,28,0.7,0.24007058
D,50,2,24,10.0,0.23934180
D,50,2,24,8.0,0.23946035
D,50,2,24,5.0,0.23975769
D,50,2,24,3.0,0.24019885
D,50,2,24,1.5,0.24101703
D,50,2,24,1.0,0.24117833
D,50,2,24,0.7,0.24139600
D,50,2,24,0.5,0.24142904
D,50,2,18,0.7,0.24069442
D,50,2,28,0.7,0.24177108
D,50,3,24,10.0,0.23211811
D,50,3,24,8.0,0.23222306
D,50,3,24,5.0,0.23266227
D,50,3,24,3.0,0.23304901
D,50,3,24,1.5,0.23363398
D,50,3,24,1.0,0.23398574
D,50,3,24,0.7,0.23409651
D,50,3,24,0.5,0.23410429
D,50,3,18,0.7,0.23396825
D,50,3,28,0.7,0.23414899
D,50,4,24,10.0,0.23667932
D,50,4,24,8.0,0.23676483
D,50,4,24,5.0,0.23707966
D,50,4,24,3.0,0.23754608
D,50,4,24,1.5,0.23788618
D,50,4,24,1.0,0.23785120
D,50,4,24,0.7,0.23783954
D,50,4,24,0.5,0.23768601
D,50,4,18,0.7,0.23762576
D,50,4,28,0.7,0.23787646
D,50,5,24,10.0,0.23747223
D,50,5,24,8.0,0.23752859
D,50,5,24,5.0,0.23784731
D,50,5,24,3.0,0.23813105
D,50,5,24,1.5,0.23833317
D,50,5,24,1.0,0.23828653
D,50,5,24,0.7,0.23831956
D,50,5,24,0.5,0.23808441
D,50,5,18,0.7,0.23804554
D,50,5,28,0.7,0.23837787
D,50,6,24,10.0,0.23775403
D,50,6,24,8.0,0.23790756
D,50,6,24,5.0,0.23818741
D,50,6,24,3.0,0.23857415
D,50,6,24,1.5,0.23874129
D,50,6,24,1.0,0.23872380
D,50,6,24,0.7,0.23845949
D,50,6,24,0.5,0.23827681
D,50,6,18,0.7,0.23824960
D,50,6,28,0.7,0.23860330
D,50,7,24,10.0,0.23858193
D,50,7,24,8.0,0.23868493
D,50,7,24,5.0,0.23889482
D,50,7,24,3.0,0.23921937
D,50,7,24,1.5,0.23933014
D,50,7,24,1.0,0.23922520
D,50,7,24,0.7,0.23888121
D,50,7,24,0.5,0.23883263
D,50,7,18,0.7,0.23868881
D,50,7,28,0.7,0.23909693
D,45,8,24,10.0,0.23397049
D,45,8,24,8.0,0.23406245
D,45,8,24,5.0,0.23423602
D,45,8,24,3.0,0.23459741
D,45,8,24,1.5,0.23492382
D,45,8,24,1.0,0.23471269
D,45,8,24,0.7,0.23447824
D,45,8,24,0.5,0.23429560
D,45,8,18,0.7,0.23410001
D,45,8,28,0.7,0.23461165
D,50,8,24,10.0,0.23937095
D,50,8,24,8.0,0.23946813
D,50,8,24,5.0,0.23956918
D,50,8,24,3.0,0.23982183
D,50,8,24,1.5,0.24010557
D,50,8,24,1.0,0.23996758
D,50,8,24,0.7,0.23970911
D,50,8,24,0.5,0.23959056
D,50,8,18,0.7,0.23932626
D,50,8,28,0.7,0.23989568
